City,Year,Month,TotalPrecipitation,MeanTemperature
Mannar,2011,10,307.0,27.35161290322581
Mannar,2019,11,261.0,26.839999999999996
Mannar,2019,10,329.0,26.619354838709675
Mannar,2017,12,156.0,25.835483870967735
Mannar,2017,10,264.0,27.8741935483871
Mannar,2017,11,336.0,26.256666666666664
Mannar,2012,01,46.0,25.393548387096768
Mannar,2012,02,36.0,26.648275862068974
Mannar,2012,03,36.0,28.203225806451616
Mannar,2012,04,144.0,28.523333333333333
Mannar,2012,05,13.0,29.122580645161285
Mannar,2012,06,33.0,28.49
Mannar,2012,07,41.0,28.48709677419355
Mannar,2012,08,95.0,28.058064516129026
Mannar,2012,09,73.0,28.299999999999994
Mannar,2017,01,161.0,25.606451612903232
Mannar,2017,02,39.0,25.98928571428572
Mannar,2014,10,340.0,26.854838709677416
Mannar,2014,11,359.0,25.860000000000003
Mannar,2017,05,84.0,29.845161290322583
Mannar,2014,12,391.0,25.19677419354839
Mannar,2017,06,96.0,29.086666666666666
Mannar,2017,03,138.0,28.11935483870968
Mannar,2017,04,45.0,30.060000000000006
Mannar,2017,09,161.0,28.14
Mannar,2017,07,61.0,29.270967741935483
Mannar,2017,08,127.0,28.674193548387098
Mannar,2018,02,78.0,26.31785714285714
Mannar,2018,03,84.0,28.14516129032258
Mannar,2015,11,420.0,26.18333333333333
Mannar,2015,10,342.0,27.080645161290324
Mannar,2018,01,75.0,25.390322580645154
Mannar,2018,06,75.0,28.593333333333327
Mannar,2015,12,295.0,26.083870967741934
Mannar,2018,07,34.0,28.35806451612904
Mannar,2018,04,138.0,29.12666666666667
Mannar,2018,05,203.0,28.583870967741937
Mannar,2018,08,35.0,27.81935483870968
Mannar,2018,09,96.0,27.903333333333325
Mannar,2018,10,391.0,26.52258064516129
Mannar,2015,02,89.0,25.800000000000004
Mannar,2012,10,354.0,26.81935483870968
Mannar,2015,01,47.0,25.503225806451617
Mannar,2012,11,177.0,26.25666666666666
Mannar,2015,04,187.0,28.19
Mannar,2012,12,216.0,25.680645161290332
Mannar,2015,03,57.0,27.52258064516129
Mannar,2015,06,97.0,28.66666666666667
Mannar,2015,05,240.0,28.232258064516124
Mannar,2015,08,83.0,28.30322580645161
Mannar,2015,07,54.0,28.512903225806454
Mannar,2015,09,167.0,27.963333333333335
Mannar,2010,09,177.0,27.323333333333334
Mannar,2010,08,95.0,27.677419354838715
Mannar,2010,07,68.0,28.167741935483875
Mannar,2010,06,106.0,28.74333333333333
Mannar,2010,05,138.0,29.193548387096776
Mannar,2010,04,132.0,29.35666666666667
Mannar,2010,03,37.0,28.63548387096774
Mannar,2010,02,8.0,26.621428571428577
Mannar,2010,01,71.0,25.641935483870967
Mannar,2016,01,61.0,26.067741935483863
Mannar,2013,10,145.0,27.65483870967742
Mannar,2016,03,12.0,28.854838709677427
Mannar,2013,11,221.0,26.60333333333333
Mannar,2016,02,51.0,27.186206896551724
Mannar,2013,12,144.0,25.587096774193547
Mannar,2016,05,206.0,28.81612903225807
Mannar,2016,04,106.0,29.89666666666667
Mannar,2016,07,54.0,28.23225806451613
Mannar,2016,06,109.0,28.546666666666667
Mannar,2016,09,19.0,27.90999999999999
Mannar,2016,08,43.0,28.341935483870966
Mannar,2010,12,369.0,25.045161290322582
Mannar,2010,11,383.0,26.026666666666664
Mannar,2010,10,196.0,27.196774193548393
Mannar,2018,11,330.0,25.880000000000006
Mannar,2018,12,184.0,25.806451612903235
Mannar,2013,01,84.0,25.39354838709678
Mannar,2013,02,91.0,26.157142857142862
Mannar,2013,03,98.0,27.483870967741943
Mannar,2013,04,94.0,29.413333333333338
Mannar,2013,05,84.0,29.077419354838714
Mannar,2013,06,84.0,28.08333333333333
Mannar,2013,07,53.0,27.887096774193544
Mannar,2013,08,66.0,27.767741935483873
Mannar,2013,09,124.0,27.60666666666667
Vavuniya,2018,11,374.0,24.946666666666665
Vavuniya,2018,12,190.0,24.841935483870962
Vavuniya,2013,02,114.0,25.025000000000002
Vavuniya,2013,01,103.0,24.319354838709682
Vavuniya,2010,10,151.0,26.69354838709678
Vavuniya,2018,10,418.0,25.541935483870965
Vavuniya,2013,08,106.0,27.622580645161293
Vavuniya,2013,07,63.0,27.938709677419357
Vavuniya,2013,09,98.0,27.416666666666668
Vavuniya,2013,04,91.0,28.726666666666677
Vavuniya,2010,11,318.0,25.053333333333335
Vavuniya,2013,03,91.0,26.5258064516129
Vavuniya,2010,12,376.0,23.961290322580645
Vavuniya,2013,06,98.0,28.073333333333334
Vavuniya,2013,05,71.0,28.732258064516127
Vavuniya,2018,01,81.0,24.145161290322577
Vavuniya,2018,02,90.0,25.157142857142855
Vavuniya,2018,03,89.0,27.01612903225806
Vavuniya,2018,04,91.0,28.28000000000001
Vavuniya,2018,05,157.0,27.251612903225798
Vavuniya,2018,06,107.0,28.186666666666667
Vavuniya,2018,07,58.0,28.806451612903235
Vavuniya,2015,12,277.0,25.04838709677419
Vavuniya,2015,10,267.0,26.267741935483873
Vavuniya,2015,11,337.0,25.216666666666672
Vavuniya,2010,04,101.0,28.846666666666668
Vavuniya,2010,05,116.0,28.364516129032264
Vavuniya,2010,06,83.0,28.753333333333334
Vavuniya,2010,07,82.0,28.09677419354839
Vavuniya,2010,01,93.0,24.59032258064516
Vavuniya,2010,02,13.0,25.975
Vavuniya,2010,03,48.0,28.18709677419354
Vavuniya,2018,08,80.0,28.170967741935492
Vavuniya,2018,09,160.0,27.956666666666663
Vavuniya,2010,08,107.0,27.761290322580642
Vavuniya,2010,09,154.0,27.17666666666666
Vavuniya,2015,03,89.0,26.49032258064516
Vavuniya,2012,10,314.0,26.225806451612897
Vavuniya,2015,04,143.0,27.43999999999999
Vavuniya,2015,01,57.0,24.570967741935494
Vavuniya,2012,12,237.0,24.632258064516133
Vavuniya,2015,02,125.0,24.657142857142855
Vavuniya,2012,11,167.0,25.276666666666667
Vavuniya,2015,09,120.0,27.529999999999998
Vavuniya,2015,07,68.0,28.629032258064512
Vavuniya,2015,08,64.0,28.3741935483871
Vavuniya,2015,05,136.0,27.458064516129035
Vavuniya,2015,06,72.0,28.309999999999995
Vavuniya,2012,01,58.0,24.093548387096778
Vavuniya,2017,12,177.0,24.725806451612907
Vavuniya,2017,11,317.0,25.23
Vavuniya,2017,10,207.0,26.870967741935484
Vavuniya,2012,07,55.0,28.65806451612903
Vavuniya,2012,06,32.0,29.006666666666668
Vavuniya,2012,09,67.0,28.663333333333334
Vavuniya,2012,08,52.0,28.567741935483856
Vavuniya,2012,03,57.0,27.583870967741937
Vavuniya,2012,02,86.0,25.320689655172412
Vavuniya,2012,05,27.0,29.27741935483871
Vavuniya,2012,04,135.0,27.519999999999996
Vavuniya,2017,06,84.0,28.916666666666664
Vavuniya,2017,05,91.0,29.05483870967742
Vavuniya,2017,04,46.0,29.58666666666667
Vavuniya,2014,11,302.0,24.826666666666668
Vavuniya,2014,12,394.0,24.193548387096776
Vavuniya,2017,03,153.0,26.377419354838707
