precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
23,39611.8,29.3,3.72,3.87,-0.15
23,39941.88,25.5,4.05,3.97,0.08
15,39702.59,21.0,4.42,4.02,0.4
9,39122.49,22.0,4.27,3.9,0.37
11,36675.54,22.5,4.2,3.69,0.51
19,39600.0,20.7,3.69,3.76,-0.07
24,8870.82,14.0,1.84,1.94,-0.1
23,19347.08,14.9,3.02,2.53,0.49
24,33125.66,17.1,3.16,3.06,0.1
24,37679.67,17.5,3.45,3.31,0.14
21,32025.28,22.5,3.49,3.19,0.3
24,25390.26,22.4,2.74,2.75,-0.01
24,20395.31,22.8,2.44,2.37,0.07
21,0.0,25.7,1.87,1.64,0.23
19,25662.17,19.6,2.94,2.87,0.07
17,14668.49,13.2,2.62,2.33,0.29
19,9170.14,15.4,2.15,2.23,-0.08
19,23349.43,9.7,3.62,2.85,0.77
23,0.0,8.4,1.5,1.5,0.0
20,29266.05,15.0,3.76,3.08,0.68
20,12001.26,18.9,2.52,2.15,0.37
18,16592.69,14.1,2.68,2.53,0.15
17,26286.29,16.6,3.17,2.9,0.27
19,22375.19,18.9,3.27,2.73,0.54
20,38128.0,20.7,3.32,3.37,-0.05
22,31751.23,20.5,3.44,3.15,0.29
18,36345.09,21.7,4.14,3.53,0.61
13,320.37,17.9,2.44,2.01,0.43
13,39942.64,20.0,4.49,4.21,0.28
15,39614.82,20.5,4.28,3.98,0.3
15,39324.4,15.1,4.08,3.77,0.31
6,39516.35,15.9,4.35,4.49,-0.14
11,39831.95,17.4,4.21,4.14,0.07
18,39831.29,17.3,4.11,3.84,0.27
15,38792.32,19.3,3.98,3.83,0.15
13,40386.74,17.7,4.03,4.2,-0.17
5,40499.7,14.8,4.56,4.51,0.05
4,40725.75,17.3,4.71,4.79,-0.08
6,40615.45,18.6,4.82,4.49,0.33
18,39489.32,19.7,4.63,3.84,0.79
16,39787.04,14.8,4.4,3.84,0.56
15,36793.05,18.6,4.18,3.64,0.54
10,39706.73,14.4,4.13,3.98,0.15
14,36732.27,15.5,3.55,3.55,0.0
15,40511.11,18.2,4.43,4.23,0.2
11,39725.95,16.5,4.83,4.07,0.76
0,39600.0,13.7,5.11,4.95,0.16
12,35379.13,19.1,4.44,3.63,0.81
8,37977.22,15.6,4.25,3.95,0.3
16,39620.3,18.4,4.54,3.95,0.59
13,39941.04,18.7,4.74,4.15,0.59
10,32741.45,16.3,4.38,3.76,0.62
12,39600.0,19.0,4.44,4.07,0.37
11,31951.39,16.5,4.01,3.5,0.51
16,32648.37,14.8,3.96,3.42,0.54
12,30697.51,13.3,4.2,3.64,0.56
